Problem,ProblemFamily,Dimension,Optimizer,MeanFinalValue,MeanFinalValueSuccess,MeanFinalValueFail,StdFinalValue,BestValue,WorstValue,MeanIterations,MeanFunctionEvals,MeanFunctionEvalsSuccess,MeanFunctionEvalsFail,MeanGradientEvals,MeanGradientEvalsSuccess,MeanGradientEvalsFail,MeanTime,SuccessRate,NumRuns
Sphere_2D,Sphere,2,GD-Nesterov,2.514307e-3,2.514307e-3,NaN,2.016517e-3,2.832621e-4,4.930579e-3,13.4,16.4,16.4,NaN,29.9,29.9,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,Adam-Fast,8.782020e-2,1.617945e-3,1.247640e-1,5.665754e-2,2.818338e-4,1.341967e-1,15.2,33.5,24.0,37.6,32.8,24.0,36.6,0.001,0.300,20
Sphere_2D,Sphere,2,Adam-AMSGrad,7.196964e-2,NaN,7.196964e-2,3.205567e-2,2.818328e-2,1.295126e-1,1249.0,2502.0,NaN,2502.0,2502.0,NaN,2502.0,0.054,0.000,20
Sphere_2D,Sphere,2,Adam-WeightDecay,4.978458e-3,4.978458e-3,NaN,2.032160e-5,4.936882e-3,4.999928e-3,555.0,1113.1,1113.1,NaN,1113.1,1113.1,NaN,0.023,1.000,20
Sphere_2D,Sphere,2,Trust Region-Precise,6.578947e-1,1.289843e-3,1.460412e0,7.912148e-1,5.183959e-6,2.786479e0,37.5,115.3,106.4,126.3,77.5,71.9,84.2,0.001,0.550,20
Sphere_2D,Sphere,2,GD-WeightDecay,4.665167e-3,4.665167e-3,NaN,1.713871e-4,4.308818e-3,4.948109e-3,48.6,51.6,51.6,NaN,100.3,100.3,NaN,0.002,1.000,20
Sphere_2D,Sphere,2,L-BFGS-MoreThuente,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,1.0,10.0,10.0,NaN,8.0,8.0,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,L-BFGS-Aggressive,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,1.0,10.0,10.0,NaN,6.0,6.0,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,QQN-StrongWolfe,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,1.0,11.0,11.0,NaN,9.0,9.0,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,L-BFGS,8.789859e-5,8.789859e-5,NaN,3.315105e-4,0.000000e0,1.514311e-3,1.8,13.5,13.5,NaN,10.0,10.0,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,QQN-Bisection-1,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,1.0,15.0,15.0,NaN,12.0,12.0,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,L-BFGS-Conservative,4.280748e-3,4.280748e-3,NaN,6.134811e-4,2.797591e-3,4.972721e-3,30.6,156.2,156.2,NaN,125.6,125.6,NaN,0.004,1.000,20
Sphere_2D,Sphere,2,L-BFGS-Limited,1.236501e-3,1.236501e-3,NaN,1.696804e-3,0.000000e0,4.921204e-3,4.0,23.1,23.1,NaN,14.8,14.8,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,GD-AdaptiveMomentum,2.045804e-1,1.591449e-3,5.090638e-1,2.495158e-1,2.676415e-5,5.532390e-1,10.8,13.8,11.3,17.5,24.2,19.7,31.0,0.000,0.600,20
Sphere_2D,Sphere,2,GD-Momentum,4.849821e-4,4.849821e-4,NaN,1.024453e-3,1.930165e-4,4.947053e-3,13.9,16.9,16.9,NaN,30.9,30.9,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,Adam,7.600045e-3,4.983320e-3,9.344528e-3,2.833832e-3,4.964209e-3,1.277169e-2,1214.4,2432.4,2328.0,2502.0,2432.4,2328.0,2502.0,0.048,0.400,20
Sphere_2D,Sphere,2,QQN-CubicQuadraticInterpolation,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,1.0,12.0,12.0,NaN,10.0,10.0,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,Adam-Robust,5.861801e-2,NaN,5.861801e-2,2.407021e-2,2.269559e-2,1.251926e-1,1249.0,2502.0,NaN,2502.0,2502.0,NaN,2502.0,0.055,0.000,20
Sphere_2D,Sphere,2,Trust Region-Aggressive,7.954347e3,1.445154e-3,1.136335e4,5.207723e3,2.256307e-5,1.153311e4,5.2,18.6,6.0,24.0,12.7,5.0,16.0,0.000,0.300,20
Sphere_2D,Sphere,2,QQN-GoldenSection,3.224213e-14,3.224213e-14,NaN,4.916339e-15,2.460493e-14,3.961430e-14,1.0,46.0,46.0,NaN,8.0,8.0,NaN,0.000,1.000,20
Sphere_2D,Sphere,2,Trust Region-Conservative,1.693058e-3,1.693058e-3,NaN,1.408436e-3,2.111894e-4,4.459257e-3,199.7,602.0,602.0,NaN,402.3,402.3,NaN,0.004,1.000,20
Sphere_2D,Sphere,2,Trust Region-Adaptive,6.684297e2,1.617666e-3,1.028353e3,6.045353e2,1.207377e-5,1.222904e3,12.7,41.1,30.0,47.1,27.8,21.0,31.4,0.000,0.350,20
