Problem,ProblemFamily,Dimension,Optimizer,MeanFinalValue,MeanFinalValueSuccess,MeanFinalValueFail,StdFinalValue,BestValue,WorstValue,MeanIterations,MeanFunctionEvals,MeanFunctionEvalsSuccess,MeanFunctionEvalsFail,MeanGradientEvals,MeanGradientEvalsSuccess,MeanGradientEvalsFail,MeanTime,SuccessRate,NumRuns
Sphere_2D,Convex Unimodal,2,Trust Region-Standard,7.464845e2,NaN,7.464845e2,1.212959e3,4.401984e2,6.033294e3,8.6,28.6,NaN,28.6,19.1,NaN,19.1,0.000,0.000,20
Sphere_2D,Convex Unimodal,2,GD-Momentum,1.485424e-1,NaN,1.485424e-1,2.327666e-2,1.176314e-1,2.007891e-1,20.0,23.0,NaN,23.0,42.0,NaN,42.0,0.001,0.000,20
Sphere_2D,Convex Unimodal,2,QQN-GoldenSection,3.229998e-14,3.229998e-14,NaN,4.772196e-15,2.190708e-14,4.308845e-14,2.0,47.0,47.0,NaN,9.0,9.0,NaN,0.000,1.000,60
Sphere_2D,Convex Unimodal,2,GD,3.009893e-6,NaN,3.009893e-6,4.494303e-7,2.250069e-6,3.940828e-6,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.008,0.000,40
Sphere_2D,Convex Unimodal,2,QQN-Bisection-2,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,14.0,14.0,NaN,16.0,16.0,NaN,0.000,1.000,20
Sphere_2D,Convex Unimodal,2,QQN-Backtracking,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,12.0,12.0,NaN,9.0,9.0,NaN,0.000,1.000,20
Sphere_2D,Convex Unimodal,2,Adam,1.150189e0,NaN,1.150189e0,2.255530e-1,7.234140e-1,1.554683e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.010,0.000,20
Sphere_2D,Convex Unimodal,2,GD-Nesterov,9.807344e-2,NaN,9.807344e-2,1.354157e-2,6.312583e-2,1.290942e-1,20.0,23.0,NaN,23.0,42.0,NaN,42.0,0.001,0.000,20
Sphere_2D,Convex Unimodal,2,Adam-WeightDecay,2.652848e-1,NaN,2.652848e-1,7.426494e-2,1.370119e-1,3.787021e-1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.011,0.000,20
Sphere_2D,Convex Unimodal,2,Trust Region-Conservative,3.670620e0,NaN,3.670620e0,5.211241e0,2.707453e-3,1.802488e1,192.6,581.6,NaN,581.6,388.1,NaN,388.1,0.004,0.000,20
Sphere_2D,Convex Unimodal,2,L-BFGS,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.8,13.8,13.8,NaN,11.2,11.2,NaN,0.000,1.000,20
Sphere_2D,Convex Unimodal,2,QQN-Bisection-1,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,16.0,16.0,NaN,13.0,13.0,NaN,0.000,1.000,40
Sphere_2D,Convex Unimodal,2,QQN-StrongWolfe,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,12.0,12.0,NaN,10.0,10.0,NaN,0.000,1.000,20
Sphere_2D,Convex Unimodal,2,L-BFGS-Aggressive,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.4,12.6,12.6,NaN,8.1,8.1,NaN,0.000,1.000,40
Sphere_2D,Convex Unimodal,2,Adam-Fast,1.255304e-1,NaN,1.255304e-1,5.826140e-3,1.100157e-1,1.353263e-1,16.9,36.9,NaN,36.9,35.9,NaN,35.9,0.001,0.000,40
Sphere_2D,Convex Unimodal,2,QQN-MoreThuente,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,13.0,13.0,NaN,11.0,11.0,NaN,0.000,1.000,20
Sphere_2D,Convex Unimodal,2,L-BFGS-Conservative,7.024594e-8,2.433349e-13,7.394308e-8,1.364893e-7,2.433349e-13,5.125840e-7,108.6,549.9,412.0,557.1,440.2,330.0,446.0,0.016,0.050,20
Sphere_2D,Convex Unimodal,2,GD-WeightDecay,3.705130e-10,3.705130e-10,NaN,1.668012e-11,3.444064e-10,3.943825e-10,157.8,159.8,159.8,NaN,317.7,317.7,NaN,0.005,1.000,20
Sphere_2D,Convex Unimodal,2,Trust Region-Adaptive,1.155210e3,NaN,1.155210e3,2.649902e2,3.708992e-1,1.223478e3,14.7,47.1,NaN,47.1,31.4,NaN,31.4,0.000,0.000,20
Sphere_2D,Convex Unimodal,2,QQN-CubicQuadraticInterpolation,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,13.0,13.0,NaN,11.0,11.0,NaN,0.000,1.000,40
Sphere_2D,Convex Unimodal,2,Adam-AMSGrad,1.159102e0,NaN,1.159102e0,2.576261e-1,6.867062e-1,1.620689e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.012,0.000,20
Sphere_10D,Convex Unimodal,10,QQN-StrongWolfe,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,12.0,12.0,NaN,10.0,10.0,NaN,0.000,1.000,20
Sphere_10D,Convex Unimodal,10,Adam,5.708395e0,NaN,5.708395e0,5.582910e-1,4.903177e0,6.838730e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.011,0.000,20
Sphere_10D,Convex Unimodal,10,Adam-Fast,6.153431e-1,NaN,6.153431e-1,2.317903e-2,5.790052e-1,6.697069e-1,17.4,37.8,NaN,37.8,36.8,NaN,36.8,0.001,0.000,40
Sphere_10D,Convex Unimodal,10,Trust Region-Adaptive,9.736372e2,NaN,9.736372e2,4.866018e2,3.984234e-1,1.223042e3,48.8,149.4,NaN,149.4,99.6,NaN,99.6,0.001,0.000,20
Sphere_10D,Convex Unimodal,10,L-BFGS,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,3.0,15.0,15.0,NaN,12.0,12.0,NaN,0.000,1.000,20
Sphere_10D,Convex Unimodal,10,L-BFGS-Aggressive,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.5,13.5,13.5,NaN,8.5,8.5,NaN,0.000,1.000,40
Sphere_10D,Convex Unimodal,10,GD-WeightDecay,3.680700e-10,3.680700e-10,NaN,1.480563e-11,3.473537e-10,3.974103e-10,168.7,170.7,170.7,NaN,339.3,339.3,NaN,0.006,1.000,20
Sphere_10D,Convex Unimodal,10,Adam-AMSGrad,5.935070e0,NaN,5.935070e0,5.709068e-1,4.838833e0,7.332812e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.012,0.000,20
Sphere_10D,Convex Unimodal,10,Trust Region-Standard,7.401044e2,NaN,7.401044e2,1.208635e3,4.416237e2,6.008101e3,17.2,54.8,NaN,54.8,36.5,NaN,36.5,0.000,0.000,20
Sphere_10D,Convex Unimodal,10,Adam-WeightDecay,7.676465e-1,NaN,7.676465e-1,1.896678e-1,3.571643e-1,1.166710e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.012,0.000,20
Sphere_10D,Convex Unimodal,10,Trust Region-Conservative,8.278022e0,NaN,8.278022e0,7.026211e-1,7.188674e0,1.008400e1,199.0,602.0,NaN,602.0,402.0,NaN,402.0,0.004,0.000,20
Sphere_10D,Convex Unimodal,10,GD-Nesterov,4.228567e-1,NaN,4.228567e-1,4.131714e-2,3.705185e-1,4.925252e-1,20.4,23.4,NaN,23.4,42.9,NaN,42.9,0.001,0.000,20
Sphere_10D,Convex Unimodal,10,QQN-Backtracking,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,12.0,12.0,NaN,9.0,9.0,NaN,0.000,1.000,20
Sphere_10D,Convex Unimodal,10,L-BFGS-Conservative,2.497522e-7,NaN,2.497522e-7,2.848899e-7,1.066315e-12,8.351233e-7,110.0,557.0,NaN,557.0,446.0,NaN,446.0,0.015,0.000,20
Sphere_10D,Convex Unimodal,10,GD,1.505941e-5,NaN,1.505941e-5,1.176992e-6,1.192570e-5,1.790638e-5,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.009,0.000,40
Sphere_10D,Convex Unimodal,10,QQN-GoldenSection,1.651182e-13,1.651182e-13,NaN,9.451825e-15,1.445252e-13,1.844774e-13,2.0,47.0,47.0,NaN,9.0,9.0,NaN,0.000,1.000,60
Sphere_10D,Convex Unimodal,10,QQN-CubicQuadraticInterpolation,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,13.0,13.0,NaN,11.0,11.0,NaN,0.000,1.000,40
Sphere_10D,Convex Unimodal,10,QQN-Bisection-2,0.000000e0,0.000000e0,NaN,0.000000e0,0.000000e0,0.000000e0,2.0,14.0,14.0,NaN,16.0,16.0,NaN,0.000,1.000,20
